,0
0,L-BSTS
1,L-CACG
2,L-CMFG
3,L-CU
4,L-EC
5,L-FG
6,L-IPG
7,L-ITG
8,L-ICG
9,L-LOG
10,L-LOFG
11,L-LG
12,L-MOFG
13,L-MTG
14,L-PHIG
15,L-PaCG
16,L-POP
17,L-POR
18,L-PTR
19,L-PCAL
20,L-PoCG
21,L-PCG
22,L-PrCG
23,L-PCU
24,L-RACG
25,L-RMFG
26,L-SFG
27,L-SPG
28,L-STG
29,L-SMG
30,L-FP
31,L-TP
32,L-TTG
33,L-IN
34,L-CER
35,L-TH
36,L-CA
37,L-PU
38,L-PA
39,L-HI
40,L-AM
41,L-AC
42,R-TH
43,R-CA
44,R-PU
45,R-PA
46,R-HI
47,R-AM
48,R-AC
49,R-BSTS
50,R-CACG
51,R-CMFG
52,R-CU
53,R-EC
54,R-FG
55,R-IPG
56,R-ITG
57,R-ICG
58,R-LOG
59,R-LOFG
60,R-LG
61,R-MOFG
62,R-MTG
63,R-PHIG
64,R-PaCG
65,R-POP
66,R-POR
67,R-PTR
68,R-PCAL
69,R-PoCG
70,R-PCG
71,R-PrCG
72,R-PCU
73,R-RACG
74,R-RMFG
75,R-SFG
76,R-SPG
77,R-STG
78,R-SMG
79,R-FP
80,R-TP
81,R-TTG
82,R-IN
83,R-CER
